,Event Time,Previous Event,Status,Tagname
0,25/Jan/2022 00:00:05.000,,,*COMENT*                                        
1,25/Jan/2022 00:00:05.000,,,*COMENT*                                        
2,25/Jan/2022 00:00:05.000,,,DESLIGAMENTO LI-IPU-FI1 02 2011                 
3,25/Jan/2022 00:00:05.000,,,*COMENT*                                        
4,25/Jan/2022 00:00:05.000,,,*COMENT*                                        
5,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LA TRIP
6,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LA TRIP FASE A
7,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LA TRIP FASE B
8,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LA TRIP FASE C
9,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LA TRIP FASE A
10,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LA TRIP FASE B
11,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LP TRIP
12,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LP TRIP FASE A
13,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LP TRIP FASE B
14,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LP TRIP FASE C
15,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LP TRIP FASE A
16,25/Jan/2022 00:00:09.000,,ATUADO,SF6_60  .LI_IPU_FI1 87LP TRIP FASE B
17,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .ACOPL_BARRA DISJ 06A34 A-41
18,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .ACOPL_BARRA DISJ 06A34 A-41 RESULTADO SELETOR
19,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .LI_IPU_FI1 DISJ 06LI1 A-34
20,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .LI_IPU_FI1 DISJ 06LI1 A-34 RESULTADO SELETOR
21,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .LI_IPU_FI2 DISJ 06LI2 A-39
22,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .LI_IPU_FI2 DISJ 06LI2 A-39 RESULTADO SELETOR
23,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .VAO_U10 DISJ 06U10 A-31
24,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .VAO_U10 DISJ 06U10 A-31 RESULTADO SELETOR
25,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .VAO_U12 DISJ 06U12 A-36
26,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .VAO_U12 DISJ 06U12 A-36 RESULTADO SELETOR
27,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .LI_IPU_FI1 DISJ 86LI1 A-35
28,25/Jan/2022 00:00:10.000,,ABERTO,SF6_60  .LI_IPU_FI1 DISJ 86LI1 A-35 RESULTADO SELETOR
29,25/Jan/2022 00:00:10.000,,ABERTO,SE_FI500.DISJUNTOR LOGICO IPU FI 01
30,25/Jan/2022 00:00:10.000,,ATUADO,SF6_60  .LI_IPU_FI1 DISJ 06LI1 (86BF - PROT ALT)
31,25/Jan/2022 00:00:10.000,,ATUADO,SF6_60  .LI_IPU_FI1 DISJ 06LI1 (86BF - PROT PRIM)
32,25/Jan/2022 00:00:10.000,,ATUADO,SF6_60  .LI_IPU_FI1 DISJ 06LI1 (86BF - PROT ALT)
33,25/Jan/2022 00:00:10.000,,ATUADO,SF6_60  .LI_IPU_FI1 DISJ 06LI1 (86BF - PROT PRIM)
34,25/Jan/2022 00:00:10.000,,ATUADO,SF6_60  .LI_IPU_FI1 DISJ 06LI1 PROTECAO
35,25/Jan/2022 00:00:10.000,,ATUADO,SF6_60  .LI_IPU_FI2 DISJ 06LI2 PROTECAO
36,25/Jan/2022 00:00:10.000,,ATUADO,SF6_60  .VAO_U10 DISJ 06U10 PROTECAO
37,25/Jan/2022 00:00:10.000,,ATUADO,SF6_60  .VAO_U12 DISJ 06U12 PROTECAO
38,25/Jan/2022 00:10:00.000,,ATUADO,SF6_60  .ACOPL_BARRA DISJ 06A34 PROTECAO
39,25/Jan/2022 00:10:00.000,,ATUADO,SF6_60  .LI_IPU_FI1 DISJ 06LI1 (86BF - PROT ALT)
40,25/Jan/2022 00:10:00.000,,ATUADO,SF6_60  .LI_IPU_FI1 DISJ 06LI1 (86BF - PROT PRIM)
41,25/Jan/2022 00:10:00.000,,ATUADO,SF6_60  .LI_IPU_FI2 DISJ 06LI2 PROTECAO
42,25/Jan/2022 00:10:00.000,,ATUADO,SF6_60  .VAO_U10 DISJ 06U10 PROTECAO
43,25/Jan/2022 00:10:00.000,,ATUADO,SF6_60  .VAO_U12 DISJ 06U12 PROTECAO
44,25/Jan/2022 00:10:15.000,,,*COMENT*                                        
45,25/Jan/2022 00:10:15.000,,,*COMENT*                                        
46,25/Jan/2022 00:10:15.000,,,DESLIGAMENTO LI-IPU-FI1 02 2011 - FIM           
47,25/Jan/2022 00:10:16.000,,,*COMENT*                                        
48,25/Jan/2022 00:10:16.000,,,*COMENT*                                        
49,26/Jan/2022 00:00:06.000,,,GERADOR 20HZ 18 2021 - INICIO                   
50,26/Jan/2022 00:00:07.000,,,*COMENT*                                        
51,26/Jan/2022 00:00:07.000,,,*COMENT*                                        
52,26/Jan/2022 00:00:08.000,,ATUADO,U11     .EXCITACAO RELE 40 PROT BLOQUEADA FALTA ALIM
53,26/Jan/2022 00:00:08.000,,FALHA,U11     .GERADOR GERADOR 20HZ P/RELE 64SB
54,26/Jan/2022 00:00:08.000,,ATUADO,U11     .GERADOR POTENCIAL PROT/MEDIC (T51) PERDA
55,26/Jan/2022 00:00:09.000,,,*COMENT*                                        
56,26/Jan/2022 00:00:09.000,,,*COMENT*                                        
57,26/Jan/2022 00:00:09.000,,,GERADOR 20HZ 18 2021 - FIM                      
58,27/Jan/2022 00:08:00.000,,,*COMENT*                                        
59,27/Jan/2022 00:08:00.000,,,*COMENT*                                        
60,28/Jan/2022 00:00:00.000,,,**ATUACAO 05A RAP18/2014 - INICIO**             
61,28/Jan/2022 00:00:01.000,,,*COMENT*                                        
62,28/Jan/2022 00:00:01.000,,,*COMENT*                                        
63,28/Jan/2022 00:00:10.000,,ANOR,SSAA_60 .AUXILIAR_CC CB-07 CONDICAO URG
64,28/Jan/2022 00:00:10.000,,ANOR,SSAA_60 .AUXILIAR_CC CB-08 CONDICAO URG
65,28/Jan/2022 00:00:15.000,,NORMAL,SSAA_60 .AUXILIAR_CC CB-07 CONDICAO URG
66,28/Jan/2022 00:00:15.000,,NORMAL,SSAA_60 .AUXILIAR_CC CB-08 CONDICAO URG
67,28/Jan/2022 00:00:20.000,,ANOR,SSAA_60 .AUXILIAR_CC CB-07 CONDICAO URG
68,28/Jan/2022 00:00:20.000,,ANOR,SSAA_60 .AUXILIAR_CC CB-08 CONDICAO URG
69,28/Jan/2022 00:00:32.000,,NORMAL,SSAA_60 .AUXILIAR_CC CB-07 CONDICAO URG
70,28/Jan/2022 00:00:32.000,,NORMAL,SSAA_60 .AUXILIAR_CC CB-08 CONDICAO URG
71,28/Jan/2022 00:00:53.000,,ANOR,SSAA_60 .AUXILIAR_CC CB-07 CONDICAO URG
