Index,Start Time,Stop Time,Event,Description,Active
1,25/Jan/2022 00:00:05,,*COMENT*                                        ,                                                ,No
2,25/Jan/2022 00:00:05,,*COMENT*                                        ,                                                ,No
3,25/Jan/2022 00:00:05,,DESLIGAMENTO LI-IPU-FI1 02 2011                 ,                                                ,No
4,25/Jan/2022 00:00:05,,*COMENT*                                        ,                                                ,No
5,25/Jan/2022 00:00:05,,*COMENT*                                        ,                                                ,No
6,25/Jan/2022 00:00:09,,STATUS PT.  SF6_60  LI_IPU_FI1 87LA TRIP        ,IS PLACED IN CLOSED STATE                       ,Yes
7,25/Jan/2022 00:00:09,,STATUS PT.  SF6_60  LI_IPU_FI1 87LA TRIP FASE A ,IS PLACED IN CLOSED STATE                       ,Yes
8,25/Jan/2022 00:00:09,,STATUS PT.  SF6_60  LI_IPU_FI1 87LA TRIP FASE B ,IS PLACED IN CLOSED STATE                       ,Yes
9,25/Jan/2022 00:00:09,,STATUS PT.  SF6_60  LI_IPU_FI1 87LP TRIP        ,IS PLACED IN CLOSED STATE                       ,Yes
10,25/Jan/2022 00:00:09,,STATUS PT.  SF6_60  LI_IPU_FI1 87LP TRIP FASE A ,IS PLACED IN CLOSED STATE                       ,Yes
11,25/Jan/2022 00:00:09,,STATUS PT.  SF6_60  LI_IPU_FI1 87LP TRIP FASE B ,IS PLACED IN CLOSED STATE                       ,Yes
12,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  ACOPL_BARRA DISJ 06A34 A-41 ,IS PLACED IN THE OPEN STATE                     ,Yes
13,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  LI_IPU_FI1 DISJ 06LI1 A-34  ,IS PLACED IN THE OPEN STATE                     ,Yes
14,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  LI_IPU_FI2 DISJ 06LI2 A-39  ,IS PLACED IN THE OPEN STATE                     ,Yes
15,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  VAO_U10 DISJ 06U10 A-31     ,IS PLACED IN THE OPEN STATE                     ,Yes
16,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  VAO_U12 DISJ 06U12 A-36     ,IS PLACED IN THE OPEN STATE                     ,Yes
17,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  LI_IPU_FI1 DISJ 86LI1 A-35  ,IS PLACED IN THE OPEN STATE                     ,Yes
18,25/Jan/2022 00:00:10,,STATUS PT.  SE_FI500DISJUNTOR LOGICO IPU FI 01  ,IS PLACED IN THE OPEN STATE                     ,Yes
19,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  LI_IPU_FI1 DISJ 06LI1 (86BF ,IS PLACED IN THE OPEN STATE                     ,Yes
20,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  LI_IPU_FI1 DISJ 06LI1 (86BF ,IS PLACED IN THE OPEN STATE                     ,Yes
21,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  LI_IPU_FI1 DISJ 06LI1 PROTEC,IS PLACED IN CLOSED STATE                       ,Yes
22,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  LI_IPU_FI2 DISJ 06LI2 PROTEC,IS PLACED IN CLOSED STATE                       ,Yes
23,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  VAO_U10 DISJ 06U10 PROTECAO ,IS PLACED IN CLOSED STATE                       ,Yes
24,25/Jan/2022 00:00:10,,STATUS PT.  SF6_60  VAO_U12 DISJ 06U12 PROTECAO ,IS PLACED IN CLOSED STATE                       ,Yes
25,25/Jan/2022 00:10:00,,STATUS PT.  SF6_60  ACOPL_BARRA DISJ 06A34 PROTE,IS PLACED IN CLOSED STATE                       ,Yes
26,25/Jan/2022 00:10:00,,STATUS PT.  SF6_60  LI_IPU_FI1 DISJ 06LI1 (86BF ,IS PLACED IN THE OPEN STATE                     ,Yes
27,25/Jan/2022 00:10:00,,STATUS PT.  SF6_60  LI_IPU_FI2 DISJ 06LI2 PROTEC,IS PLACED IN CLOSED STATE                       ,Yes
28,25/Jan/2022 00:10:00,,STATUS PT.  SF6_60  VAO_U10 DISJ 06U10 PROTECAO ,IS PLACED IN CLOSED STATE                       ,Yes
29,25/Jan/2022 00:10:00,,STATUS PT.  SF6_60  VAO_U12 DISJ 06U12 PROTECAO ,IS PLACED IN CLOSED STATE                       ,Yes
30,25/Jan/2022 00:10:15,,*COMENT*                                        ,                                                ,No
31,25/Jan/2022 00:10:15,,*COMENT*                                        ,                                                ,No
32,25/Jan/2022 00:10:15,,DESLIGAMENTO LI-IPU-FI1 02 2011 - FIM           ,                                                ,No
33,25/Jan/2022 00:10:16,,*COMENT*                                        ,                                                ,No
34,25/Jan/2022 00:10:16,,*COMENT*                                        ,                                                ,No
35,26/Jan/2022 00:00:06,,GERADOR 20HZ 18 2021 - INICIO                   ,                                                ,No
36,26/Jan/2022 00:00:07,,*COMENT*                                        ,                                                ,No
37,26/Jan/2022 00:00:07,,*COMENT*                                        ,                                                ,No
38,26/Jan/2022 00:00:08,,STATUS PT.  U11     EXCITACAO RELE 40 PROT BLOQU,IS PLACED IN CLOSED STATE                       ,Yes
39,26/Jan/2022 00:00:08,,STATUS PT.  U11     GERADOR GERADOR 20HZ P/RELE ,IS PLACED IN CLOSED STATE                       ,Yes
40,26/Jan/2022 00:00:08,,STATUS PT.  U11     GERADOR POTENCIAL PROT/MEDIC,IS PLACED IN CLOSED STATE                       ,Yes
41,26/Jan/2022 00:00:09,,*COMENT*                                        ,                                                ,No
42,26/Jan/2022 00:00:09,,*COMENT*                                        ,                                                ,No
43,26/Jan/2022 00:00:09,,GERADOR 20HZ 18 2021 - FIM                      ,                                                ,No
44,27/Jan/2022 00:08:00,,*COMENT*                                        ,                                                ,No
45,27/Jan/2022 00:08:00,,*COMENT*                                        ,                                                ,No
46,28/Jan/2022 00:00:00,,**ATUACAO 05A RAP18/2014 - INICIO**             ,                                                ,No
47,28/Jan/2022 00:00:01,,*COMENT*                                        ,                                                ,No
48,28/Jan/2022 00:00:01,,*COMENT*                                        ,                                                ,No
49,28/Jan/2022 00:00:10,,STATUS PT.  SSAA_60 AUXILIAR_CC CB-07 CONDICAO U,IS PLACED IN CLOSED STATE                       ,Yes
50,28/Jan/2022 00:00:10,,STATUS PT.  SSAA_60 AUXILIAR_CC CB-08 CONDICAO U,IS PLACED IN CLOSED STATE                       ,Yes
51,28/Jan/2022 00:00:15,,STATUS PT.  SSAA_60 AUXILIAR_CC CB-07 CONDICAO U,IS PLACED IN THE OPEN STATE                     ,Yes
52,28/Jan/2022 00:00:15,,STATUS PT.  SSAA_60 AUXILIAR_CC CB-08 CONDICAO U,IS PLACED IN THE OPEN STATE                     ,Yes
53,28/Jan/2022 00:00:20,,STATUS PT.  SSAA_60 AUXILIAR_CC CB-07 CONDICAO U,IS PLACED IN CLOSED STATE                       ,Yes
54,28/Jan/2022 00:00:20,,STATUS PT.  SSAA_60 AUXILIAR_CC CB-08 CONDICAO U,IS PLACED IN CLOSED STATE                       ,Yes
55,28/Jan/2022 00:00:32,,STATUS PT.  SSAA_60 AUXILIAR_CC CB-07 CONDICAO U,IS PLACED IN THE OPEN STATE                     ,Yes
56,28/Jan/2022 00:00:32,,STATUS PT.  SSAA_60 AUXILIAR_CC CB-08 CONDICAO U,IS PLACED IN THE OPEN STATE                     ,Yes
57,28/Jan/2022 00:00:53,,STATUS PT.  SSAA_60 AUXILIAR_CC CB-07 CONDICAO U,IS PLACED IN CLOSED STATE                       ,Yes
58,28/Jan/2022 00:00:53,,STATUS PT.  SSAA_60 AUXILIAR_CC CB-08 CONDICAO U,IS PLACED IN CLOSED STATE                       ,Yes
59,28/Jan/2022 00:01:00,,STATUS PT.  SF6_60  VAO_U15 DISJ 86U15 A-45     ,IS PLACED IN THE OPEN STATE                     ,Yes
60,28/Jan/2022 00:01:00,,STATUS PT.  U12     SUPERV/CONTR RELE 05A PARADA,IS PLACED IN CLOSED STATE                       ,Yes
61,28/Jan/2022 00:01:00,,STATUS PT.  U13     SUPERV/CONTR RELE 05A PARADA,IS PLACED IN CLOSED STATE                       ,Yes
62,28/Jan/2022 00:01:00,,STATUS PT.  U14     SUPERV/CONTR RELE 05A PARADA,IS PLACED IN CLOSED STATE                       ,Yes
63,28/Jan/2022 00:01:00,,STATUS PT.  U15     SUPERV/CONTR RELE 05A PARADA,IS PLACED IN CLOSED STATE                       ,Yes
64,28/Jan/2022 00:01:09,,***COMENT***                                    ,                                                ,No
65,28/Jan/2022 00:01:09,,***COMENT***                                    ,                                                ,No
66,28/Jan/2022 00:01:10,,**ATUACAO 05A RAP18/2014 - FIM**                ,                                                ,No
67,29/Jan/2022 00:00:00,,***COMENT***                                    ,                                                ,No
68,29/Jan/2022 00:00:00,,***COMENT***                                    ,                                                ,No
69,29/Jan/2022 23:00:00,,CENARIO CLP U18                                 ,                                                ,No
70,29/Jan/2022 23:00:10,,***COMENT***                                    ,                                                ,No
71,29/Jan/2022 23:00:10,,***COMENT***                                    ,                                                ,No
72,30/Jan/2022 00:00:00,,PROTECAO LINHAS                                 ,                                                ,No
73,30/Jan/2022 00:00:00,,STATUS PT.  SF6_60  LI_IPU_FI1 67NP PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
74,30/Jan/2022 00:00:00,,STATUS PT.  SF6_60  LI_IPU_FI2 67NA PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
75,30/Jan/2022 00:00:00,,STATUS PT.  SF6_60  LI_IPU_FI3 67NA PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
76,30/Jan/2022 00:00:00,,STATUS PT.  SF6_60  LI_IPU_FI4 67NP PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
77,30/Jan/2022 00:00:02,,STATUS PT.  SF6_60  LI_IPU_FI1 67NP PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
78,30/Jan/2022 00:00:02,,STATUS PT.  SF6_60  LI_IPU_FI2 67NA PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
79,30/Jan/2022 00:00:02,,STATUS PT.  SF6_60  LI_IPU_FI3 67NA PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
80,30/Jan/2022 00:00:02,,STATUS PT.  SF6_60  LI_IPU_FI4 67NP PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
81,30/Jan/2022 00:00:15,,STATUS PT.  SF6_60  LI_IPU_FI1 67NP PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
82,30/Jan/2022 00:00:15,,STATUS PT.  SF6_60  LI_IPU_FI2 67NA PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
83,30/Jan/2022 00:00:15,,STATUS PT.  SF6_60  LI_IPU_FI3 67NA PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
84,30/Jan/2022 00:00:15,,STATUS PT.  SF6_60  LI_IPU_FI4 67NP PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
85,30/Jan/2022 00:00:17,,STATUS PT.  SF6_60  LI_IPU_FI1 67NP PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
86,30/Jan/2022 00:00:17,,STATUS PT.  SF6_60  LI_IPU_FI2 67NA PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
87,30/Jan/2022 00:00:17,,STATUS PT.  SF6_60  LI_IPU_FI3 67NA PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
88,30/Jan/2022 00:00:17,,STATUS PT.  SF6_60  LI_IPU_FI4 67NP PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
89,30/Jan/2022 00:00:30,,STATUS PT.  SF6_60  LI_IPU_FI1 67NP PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
90,30/Jan/2022 00:00:30,,STATUS PT.  SF6_60  LI_IPU_FI2 67NA PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
91,30/Jan/2022 00:00:30,,STATUS PT.  SF6_60  LI_IPU_FI3 67NA PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
92,30/Jan/2022 00:00:30,,STATUS PT.  SF6_60  LI_IPU_FI4 67NP PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
93,30/Jan/2022 00:00:32,,STATUS PT.  SF6_60  LI_IPU_FI1 67NP PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
94,30/Jan/2022 00:00:32,,STATUS PT.  SF6_60  LI_IPU_FI2 67NA PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
95,30/Jan/2022 00:00:32,,STATUS PT.  SF6_60  LI_IPU_FI3 67NA PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
96,30/Jan/2022 00:00:32,,STATUS PT.  SF6_60  LI_IPU_FI4 67NP PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
97,30/Jan/2022 00:00:56,,STATUS PT.  SF6_60  LI_IPU_FI1 67NP PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
98,30/Jan/2022 00:00:56,,STATUS PT.  SF6_60  LI_IPU_FI2 67NA PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
99,30/Jan/2022 00:00:56,,STATUS PT.  SF6_60  LI_IPU_FI3 67NA PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
100,30/Jan/2022 00:00:56,,STATUS PT.  SF6_60  LI_IPU_FI4 67NP PARTIDA A FR,IS PLACED IN CLOSED STATE                       ,Yes
101,30/Jan/2022 00:00:58,,STATUS PT.  SF6_60  LI_IPU_FI1 67NP PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
102,30/Jan/2022 00:00:58,,STATUS PT.  SF6_60  LI_IPU_FI2 67NA PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
103,30/Jan/2022 00:00:58,,STATUS PT.  SF6_60  LI_IPU_FI3 67NA PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
104,30/Jan/2022 00:00:58,,STATUS PT.  SF6_60  LI_IPU_FI4 67NP PARTIDA A FR,IS PLACED IN THE OPEN STATE                     ,Yes
105,30/Jan/2022 00:01:00,,STATUS PT.  ECE_60  1EPIC PP CORTE_1UG          ,IS PLACED IN CLOSED STATE                       ,Yes
106,30/Jan/2022 00:01:00,,STATUS PT.  ECE_60  1EPIC PP U18 TRIP           ,IS PLACED IN CLOSED STATE                       ,Yes
107,30/Jan/2022 00:01:00,,STATUS PT.  ECE_60  SEP_765 PA LT_IA-TP_2 PERDA_,IS PLACED IN CLOSED STATE                       ,Yes
108,30/Jan/2022 00:01:00,,STATUS PT.  ECE_60  SEP_765 PP ATUADO           ,IS PLACED IN CLOSED STATE                       ,Yes
